N,P,K,temperature,ph,Soil_moisture,Conductivity,label
90,42,43,20.87974371,6.502985292,0.125027107,7.998265534,rice
85,58,41,21.77046169,7.038096361,0.123752509,8.080644236,rice
60,55,44,23.00445915,7.840207144,0.150971441,6.623769317,rice
74,35,40,26.49109635,6.980400905,0.184504002,5.419936626,rice
78,42,42,20.13017482,7.628472891,0.130433178,7.666760989,rice
69,37,42,23.05804872,7.073453503,0.162554383,6.151787359,rice
69,55,38,22.70883798,5.70080568,0.146350852,6.832894979,rice
94,53,40,20.27774362,5.718627178,0.113784725,8.788525858,rice
89,54,38,24.51588066,6.685346424,0.140971716,7.093621514,rice
68,58,38,23.22397386,6.336253525,0.147707158,6.770152616,rice
91,53,40,26.52723513,5.386167788,0.149604539,6.684289182,rice
90,46,42,23.97898217,7.50283396,0.140331361,7.125990915,rice
78,58,44,26.80079604,5.108681786,0.154448867,6.474634746,rice
93,56,36,24.01497622,6.98435366,0.135216088,7.395569693,rice
94,50,37,25.66585205,6.94801983,0.147325149,6.787707352,rice
60,48,39,24.28209415,7.042299069,0.171987035,5.814391764,rice
85,38,41,21.58711777,6.249050656,0.137726328,7.260775884,rice
91,35,39,23.79391957,6.970859754,0.150266179,6.654857435,rice
77,38,36,21.8652524,5.953933276,0.151425513,6.603906983,rice
88,35,40,23.57943626,5.85393208,0.150794087,6.631559743,rice
89,45,36,21.32504158,6.442475375,0.131323774,7.614767453,rice
76,40,43,25.15745531,5.070175667,0.164512298,6.078572939,rice
67,59,41,21.94766735,6.012632591,0.137411182,7.277428135,rice
83,41,43,21.0525355,6.254028451,0.132051111,7.572825356,rice
98,47,37,23.48381344,7.375482851,0.134526447,7.433482551,rice
66,53,41,25.0756354,7.778915154,0.162972721,6.13599621,rice
97,59,43,26.35927159,6.286500176,0.137483777,7.273585459,rice
97,50,41,24.52922681,7.070959995,0.13579376,7.364108651,rice
60,49,44,20.77576147,6.244841491,0.142325238,7.026160725,rice
84,51,35,22.30157427,6.043304899,0.137068084,7.295644407,rice
73,57,41,21.44653958,5.824709117,0.131266313,7.61810075,rice
92,35,40,22.17931888,6.357389366,0.138798317,7.204698329,rice
85,37,39,24.52783742,6.364134968,0.158557996,6.306840542,rice
98,53,38,20.26707606,5.01450727,0.112524212,8.886976257,rice
88,54,44,25.7354293,6.149410611,0.143738867,6.957060532,rice
95,55,42,26.79533926,5.950660556,0.144767392,6.907632902,rice
99,57,35,26.75754171,5.960370061,0.145327444,6.881012807,rice
95,39,36,23.86330467,5.561398642,0.146254733,6.837385547,rice
60,43,44,21.01944696,7.416245107,0.149792156,6.675916987,rice
63,44,41,24.17298839,5.583370042,0.170087759,5.879317851,rice
62,42,36,22.78133816,6.430010215,0.169866701,5.886968978,rice
64,45,43,25.62980105,5.534878156,0.17519606,5.707890934,rice
