pH,P,K,soil_moisture,Temperature,crop
6.021427916,15.98794727,133.2061927,79.2340059,52.09408267,Carrots
6.342419803,15.30590564,137.8565363,75.61288905,51.34976017,Carrots
6.684784027,14.77895887,132.9942571,77.27783323,61.16207181,Carrots
6.552202819,12.32840757,109.7660482,76.42675438,72.28084319,Carrots
6.705261893,11.21542001,102.429536,76.71836839,58.710557,Carrots
6.583209418,10.26678133,136.5245023,70.98476654,53.94341867,Carrots
6.481066066,10.77176229,109.2542174,79.45191153,71.32871589,Carrots
6.453439259,18.49916458,144.6314529,71.50237899,68.00689592,Carrots
6.460593823,11.22359649,107.4431718,73.4973641,60.08182461,Carrots
6.453489933,18.76671718,139.3379213,72.01694852,73.06502887,Carrots
6.744821808,11.99136132,115.3148417,71.59252624,50.79989166,Carrots
6.62461753,14.2028052,115.231888,77.53127276,59.3614627,Carrots
6.070903088,19.02825693,114.8496954,77.84549761,73.27765944,Carrots
6.248679136,13.70619567,141.8995352,74.21073286,72.34425288,Carrots
6.622953697,12.11288269,144.9701156,71.13238003,52.30753684,Carrots
6.317666245,11.83099209,140.8869439,78.08892049,61.86207793,Carrots
6.027702162,13.32322771,143.2127736,73.37977733,51.48450935,Carrots
6.654171076,19.64882954,107.1336614,77.53188414,73.39589085,Carrots
6.043885416,10.83218859,131.1904487,79.47926269,70.82196548,Carrots
6.754064949,19.59624202,102.2507307,77.97752593,62.06417731,Carrots
6.241650956,13.53118795,146.1470673,71.64741793,70.91904672,Carrots
6.426930991,18.01214041,126.231764,73.716433,64.41678788,Carrots
6.049447633,15.01620049,131.1087069,73.26162125,64.80444769,Carrots
6.524148493,18.89350912,136.0180828,73.69695662,73.79126991,Carrots
6.319758855,18.40576484,149.0403178,73.8777575,51.49664293,Carrots
6.421655403,16.79334309,148.758542,74.84424995,69.33114357,Carrots
6.090058115,14.34442358,134.5190367,72.37147464,54.7508079,Carrots
6.624009584,18.65861715,110.7609128,72.21444901,53.66031696,Carrots
6.075464041,16.31393453,125.9671528,70.14553646,54.24133597,Carrots
6.166861773,12.9598233,146.9369354,77.88624754,71.67619069,Carrots
6.043358233,15.08319791,104.4303074,71.94686221,54.27918117,Carrots
6.539356986,12.69321922,131.7422862,78.75509789,55.65501344,Carrots
6.30999215,13.69648596,111.9213127,76.6452666,55.08404344,Carrots
6.090672312,11.6473072,111.3885191,73.5205907,65.95846644,Carrots
6.174468248,18.48277699,112.7969813,73.95043993,60.20739051,Carrots
6.172944053,11.81121178,139.5425442,75.65690913,55.17033669,Carrots
6.439016284,17.26679119,134.5719204,76.91964211,52.1178035,Carrots
6.519002913,16.3324455,142.869934,75.38000788,71.68722028,Carrots
6.071810676,15.98843234,110.4047744,70.42398475,64.3058782,Carrots
6.298559983,19.83244831,141.8950827,72.46472109,55.23714614,Carrots
6.075058427,17.89640895,108.232768,74.49765382,51.30648129,Carrots
6.256556378,15.72611027,136.0500473,74.23675609,74.68993889,Carrots
6.67382997,13.10514544,145.338428,76.24807131,52.83655715,Carrots
6.542179363,14.59497035,112.2794826,75.2822766,54.91722108,Carrots
6.702371935,11.77694118,114.655091,71.91802721,71.73109907,Carrots
6.321076985,12.34420375,149.1119794,76.76716467,65.36350408,Carrots
6.595478523,14.44751607,135.6941119,75.74419845,53.64599429,Carrots
6.136050191,14.64351812,136.486261,73.16524997,51.77338232,Carrots
6.145704619,11.01343915,145.3821742,75.23507342,57.53751883,Carrots
